iter	Passed	Remaining
399	31316	46974
400	31388	46886
401	31456	46793
402	31522	46697
403	31597	46614
404	31670	46528
405	31741	46439
406	31813	46352
407	31885	46265
408	31957	46177
409	32026	46086
410	32095	45996
411	32167	45909
412	32244	45829
413	32312	45737
414	32382	45647
415	32455	45562
416	32524	45471
417	32596	45385
418	32671	45304
419	32748	45223
420	32822	45140
421	32896	45056
422	32968	44970
423	33041	44886
424	33107	44792
425	33178	44705
426	33250	44619
427	33323	44535
428	33395	44449
429	33467	44363
430	33536	44274
431	33601	44180
432	33671	44091
433	33745	44009
434	33813	43918
435	33884	43831
436	33957	43748
437	34024	43657
438	34094	43569
439	34164	43482
440	34230	43389
441	34300	43301
442	34369	43214
443	34437	43125
444	34503	43032
445	34576	42949
446	34651	42868
447	34723	42784
448	34793	42697
449	34868	42616
450	34939	42531
451	35011	42448
452	35085	42365
453	35157	42282
454	35234	42203
455	35307	42121
456	35381	42040
457	35454	41957
458	35528	41875
459	35605	41797
460	35679	41716
461	35749	41630
462	35818	41543
463	35891	41461
464	35965	41379
465	36030	41288
466	36105	41207
467	36173	41120
468	36245	41037
469	36322	40959
470	36389	40870
471	36459	40785
472	36536	40707
473	36605	40621
474	36678	40539
475	36750	40456
476	36819	40370
477	36895	40291
478	36963	40204
479	37031	40117
480	37104	40035
481	37171	39947
482	37240	39862
483	37312	39779
484	37379	39691
485	37448	39606
486	37519	39522
487	37591	39440
488	37661	39356
489	37733	39273
490	37799	39185
491	37870	39101
492	37943	39021
493	38012	38935
494	38082	38851
495	38155	38770
496	38224	38686
497	38292	38599
498	38364	38518
499	38438	38438
500	38510	38356
501	38583	38276
502	38651	38190
503	38723	38108
504	38792	38024
505	38862	37940
506	38932	37857
507	39007	37779
508	39081	37699
509	39153	37617
510	39222	37534
511	39290	37448
512	39357	37363
513	39438	37290
514	39508	37207
515	39580	37126
516	39658	37050
517	39728	36967
518	39802	36888
519	39874	36806
520	39951	36731
521	40028	36654
522	40100	36573
523	40174	36494
524	40251	36417
525	40326	36339
526	40397	36258
527	40469	36177
528	40545	36099
529	40619	36020
530	40695	35943
531	40770	35866
532	40855	35796
533	40940	35726
534	41020	35653
535	41093	35573
536	41170	35497
537	41247	35420
538	41329	35348
539	41408	35274
540	41491	35202
541	41567	35125
542	41638	35043
543	41712	34965
544	41791	34890
545	41868	34813
546	41939	34732
547	42008	34649
548	42087	34574
549	42162	34496
550	42231	34413
551	42311	34339
552	42386	34261
553	42461	34184
554	42559	34123
555	42635	34047
556	42714	33972
557	42797	33900
558	42874	33823
559	42956	33751
560	43036	33677
561	43107	33596
562	43180	33516
563	43257	33439
564	43338	33366
565	43426	33298
566	43501	33220
567	43586	33150
568	43662	33073
569	43742	32999
570	43838	32936
571	43916	32860
572	43990	32781
573	44061	32700
574	44137	32623
575	44211	32544
576	44297	32474
577	44380	32402
578	44460	32328
579	44547	32258
580	44637	32191
581	44708	32110
582	44793	32039
583	44884	31972
584	44962	31896
585	45034	31816
586	45112	31740
587	45181	31657
588	45261	31583
589	45337	31505
590	45410	31426
591	45483	31346
592	45561	31270
593	45632	31189
594	45717	31118
595	45800	31046
596	45876	30968
597	45948	30888
598	46022	30810
599	46096	30731
600	46172	30653
601	46243	30573
602	46321	30496
603	46405	30424
604	46481	30347
605	46562	30273
606	46637	30195
607	46707	30113
608	46775	30031
609	46859	29959
610	46932	29879
611	47017	29808
612	47098	29734
613	47180	29660
614	47248	29578
615	47327	29503
616	47398	29422
617	47470	29342
618	47548	29266
619	47622	29188
620	47697	29110
621	47770	29030
622	47844	28952
623	47918	28873
624	47992	28795
625	48068	28718
626	48145	28641
627	48221	28564
628	48296	28486
629	48375	28410
630	48454	28335
631	48526	28256
632	48610	28183
633	48697	28112
634	48766	28031
635	48850	27958
636	48931	27884
637	49011	27809
638	49094	27735
639	49172	27659
640	49244	27580
641	49318	27501
642	49402	27428
643	49487	27356
644	49565	27280
645	49655	27210
646	49739	27137
647	49823	27064
648	49906	26991
649	49986	26915
650	50068	26841
651	50149	26766
652	50230	26692
653	50304	26613
654	50391	26541
655	50475	26468
656	50556	26393
657	50647	26324
658	50730	26250
659	50813	26176
660	50894	26101
661	50969	26023
662	51047	25947
663	51125	25870
664	51227	25806
665	51337	25745
666	51451	25687
667	51552	25621
668	51657	25558
669	51749	25488
670	51831	25413
671	51925	25344
672	51998	25265
673	52072	25186
674	52149	25108
675	52235	25035
676	52316	24960
677	52401	24886
678	52484	24812
679	52559	24733
680	52630	24653
681	52707	24576
682	52781	24497
683	52860	24421
684	52945	24347
685	53023	24270
686	53098	24191
687	53190	24121
688	53272	24045
689	53353	23970
690	53431	23893
691	53506	23814
692	53579	23735
693	53657	23658
694	53735	23581
695	53813	23504
696	53881	23423
697	53958	23345
698	54030	23266
699	54098	23184
700	54168	23104
701	54250	23029
702	54331	22953
703	54415	22879
704	54496	22803
705	54578	22728
706	54651	22648
707	54726	22570
708	54797	22490
709	54872	22412
710	54952	22336
711	55031	22259
712	55109	22183
713	55190	22106
714	55273	22031
715	55344	21952
716	55417	21873
717	55495	21796
718	55576	21720
719	55652	21642
720	55733	21566
721	55811	21489
722	55894	21414
723	55977	21339
724	56050	21260
725	56128	21183
726	56209	21107
727	56291	21032
728	56370	20955
729	56453	20880
730	56532	20803
731	56606	20724
732	56679	20646
733	56762	20570
734	56845	20495
735	56918	20416
736	57009	20343
737	57089	20267
738	57161	20188
739	57233	20109
740	57308	20030
741	57392	19955
742	57465	19877
743	57549	19802
744	57635	19727
745	57718	19652
746	57811	19580
747	57896	19505
748	57981	19430
749	58064	19354
750	58145	19278
751	58233	19204
752	58324	19131
753	58413	19057
754	58490	18980
755	58575	18905
756	58655	18828
757	58734	18751
758	58817	18675
759	58900	18600
760	58983	18524
761	59069	18449
762	59157	18375
763	59242	18299
764	59323	18223
765	59414	18150
766	59505	18076
767	59585	17999
768	59667	17923
769	59747	17846
770	59830	17770
771	59913	17694
772	59989	17616
773	60064	17538
774	60153	17464
775	60238	17388
776	60318	17311
777	60397	17234
778	60483	17158
779	60561	17081
780	60651	17007
781	60736	16931
782	60818	16855
783	60909	16781
784	60990	16704
785	61075	16628
786	61164	16554
787	61248	16478
788	61331	16401
789	61408	16323
790	61498	16249
791	61579	16172
792	61676	16099
793	61765	16024
794	61844	15947
795	61933	15872
796	62015	15795
797	62098	15719
798	62181	15642
799	62270	15567
800	62355	15491
801	62450	15417
802	62528	15340
803	62609	15263
804	62696	15187
805	62784	15112
806	62871	15036
807	62952	14958
808	63031	14881
809	63106	14802
810	63181	14724
811	63259	14646
812	63345	14570
813	63420	14491
814	63496	14413
815	63567	14333
816	63636	14254
817	63710	14175
818	63789	14097
819	63864	14019
820	63939	13940
821	64013	13861
822	64085	13782
823	64158	13703
824	64227	13624
825	64303	13545
826	64376	13466
827	64450	13388
828	64518	13308
829	64595	13230
830	64664	13150
831	64738	13072
832	64809	12993
833	64884	12914
834	64956	12835
835	65030	12757
836	65104	12678
837	65192	12602
838	65275	12525
839	65353	12448
840	65435	12371
841	65517	12294
842	65600	12217
843	65683	12140
844	65773	12064
845	65847	11986
846	65932	11909
847	66011	11832
848	66088	11754
849	66162	11675
850	66237	11597
851	66312	11519
852	66386	11440
853	66472	11364
854	66555	11287
855	66638	11210
856	66723	11133
857	66811	11057
858	66892	10979
859	66977	10903
860	67059	10826
861	67140	10748
862	67222	10671
863	67316	10596
864	67403	10519
865	67486	10442
866	67589	10368
867	67681	10292
868	67766	10215
869	67847	10138
870	67929	10060
871	68026	9985
872	68123	9910
873	68210	9833
874	68283	9754
875	68369	9677
876	68455	9600
877	68542	9524
878	68636	9448
879	68730	9372
880	68813	9294
881	68899	9217
882	68977	9139
883	69062	9062
884	69141	8984
885	69215	8905
886	69300	8828
887	69379	8750
888	69457	8672
889	69531	8593
890	69607	8515
891	69687	8437
892	69765	8359
893	69842	8281
894	69921	8203
895	69993	8124
896	70070	8046
897	70150	7968
898	70232	7890
899	70314	7812
900	70402	7735
901	70507	7660
902	70587	7582
903	70678	7505
904	70763	7428
905	70847	7350
906	70932	7273
907	71007	7194
908	71085	7116
909	71175	7039
910	71253	6961
911	71331	6882
912	71418	6805
913	71536	6731
914	71716	6662
915	71901	6593
916	72126	6528
917	72271	6455
918	72443	6385
919	72536	6307
920	72635	6230
921	72724	6152
922	72807	6073
923	72889	5995
924	72971	5916
925	73053	5837
926	73144	5760
927	73228	5681
928	73308	5602
929	73386	5523
930	73466	5444
931	73558	5366
932	73644	5288
933	73738	5210
934	73833	5132
935	73911	5053
936	73998	4975
937	74078	4896
938	74159	4817
939	74247	4739
940	74333	4660
941	74419	4582
942	74502	4503
943	74593	4425
944	74678	4346
945	74760	4267
946	74839	4188
947	74926	4109
948	75007	4030
949	75088	3952
950	75169	3873
951	75256	3794
952	75346	3715
953	75427	3636
954	75515	3558
955	75599	3479
956	75696	3401
957	75781	3322
958	75870	3243
959	75956	3164
960	76041	3085
961	76144	3007
962	76233	2928
963	76323	2850
964	76404	2771
965	76483	2691
966	76569	2613
967	76655	2534
968	76740	2455
969	76821	2375
970	76905	2296
971	76993	2217
972	77078	2138
973	77164	2059
974	77261	1981
975	77350	1902
976	77436	1822
977	77536	1744
978	77627	1665
979	77719	1586
980	77965	1510
981	78167	1432
982	78425	1356
983	78582	1277
984	78732	1198
985	78841	1119
986	78958	1039
987	79097	960
988	79189	880
989	79287	800
990	79370	720
991	79451	640
992	79537	560
993	79615	480
994	79700	400
995	79785	320
996	79869	240
997	79952	160
998	80032	80
999	80120	0
