iter	Logloss
0	0.6528698037
1	0.6232262738
2	0.5959970463
3	0.5786914813
4	0.5565276005
5	0.5414892428
6	0.5236138883
7	0.5114666391
8	0.501259748
9	0.4923689802
10	0.4832978486
11	0.4748391619
12	0.4729929156
13	0.4639065708
14	0.455490602
15	0.4476798401
16	0.4430174254
17	0.4376259834
18	0.4342795577
19	0.4300472795
20	0.427116226
21	0.4225342608
22	0.4189481909
23	0.4164755541
24	0.4151502625
25	0.4124335883
26	0.4108036826
27	0.4074802843
28	0.4053636506
29	0.4022701832
30	0.3999148537
31	0.3968732244
32	0.3940897654
33	0.3917982535
34	0.3902202148
35	0.3890486322
36	0.387227646
37	0.3835923523
38	0.3803232696
39	0.3783784078
40	0.3764616724
41	0.375094412
42	0.3722358041
43	0.3700939296
44	0.3683251752
45	0.3664386454
46	0.3642756184
47	0.361942925
48	0.3600025069
49	0.3567326752
50	0.3554813272
51	0.3531626347
52	0.3520898885
53	0.350123382
54	0.348918137
55	0.3470473052
56	0.3457647051
57	0.3437605054
58	0.3428584988
59	0.3414628717
60	0.340272883
61	0.339071299
62	0.3360361156
63	0.3340285501
64	0.3331858045
65	0.3319457902
66	0.3304796477
67	0.3295306139
68	0.3286120737
69	0.3269973356
70	0.3257543589
71	0.3244829388
72	0.323468539
73	0.3218032808
74	0.3208884833
75	0.3206626095
76	0.3204090486
77	0.3189881663
78	0.3179723813
79	0.3165651469
80	0.3155555845
81	0.3141741143
82	0.3124232883
83	0.3117594782
84	0.3108231513
85	0.3095865724
86	0.3087770931
87	0.3079756298
88	0.3071059941
89	0.3065979143
90	0.3049263831
91	0.3037432292
92	0.3027899414
93	0.3024248276
94	0.3016072724
95	0.30064908
96	0.3001483872
97	0.2983195867
98	0.2973045556
99	0.296598294
100	0.2961011158
101	0.2949012891
102	0.2939963368
103	0.2932691124
104	0.2922761988
105	0.2911691996
106	0.2905939173
107	0.2896277354
108	0.2888984512
109	0.2879822349
110	0.2870852649
111	0.286045701
112	0.2855971704
113	0.2848449369
114	0.2839966721
115	0.2820862829
116	0.2816737867
117	0.2806295259
118	0.2794031656
119	0.2785097378
120	0.2773881472
121	0.276493261
122	0.274456916
123	0.2735726625
124	0.272270211
125	0.2710445949
126	0.2704221163
127	0.2695508168
128	0.2690505489
