iter	Passed	Remaining
412	3721	5288
413	3732	5283
414	3741	5273
415	3749	5264
416	3758	5254
417	3767	5245
418	3775	5234
419	3783	5224
420	3791	5215
421	3801	5206
422	3809	5196
423	3818	5187
424	3827	5178
425	3836	5169
426	3845	5160
427	3854	5151
428	3863	5142
429	3871	5132
430	3880	5123
431	3889	5114
432	3898	5105
433	3907	5095
434	3915	5086
435	3925	5077
436	3934	5069
437	3944	5060
438	3953	5052
439	3963	5044
440	3971	5034
441	3981	5026
442	3991	5018
443	4000	5009
444	4010	5001
445	4019	4992
446	4028	4984
447	4038	4975
448	4047	4967
449	4056	4958
450	4065	4948
451	4074	4939
452	4082	4929
453	4092	4921
454	4100	4911
455	4109	4902
456	4118	4893
457	4127	4884
458	4136	4874
459	4145	4866
460	4154	4857
461	4163	4848
462	4173	4839
463	4181	4830
464	4190	4821
465	4199	4812
466	4208	4802
467	4216	4793
468	4225	4784
469	4234	4774
470	4244	4766
471	4253	4758
472	4263	4749
473	4271	4740
474	4280	4730
475	4289	4721
476	4297	4712
477	4306	4703
478	4315	4693
479	4323	4684
480	4332	4674
481	4341	4665
482	4351	4657
483	4360	4648
484	4369	4639
485	4378	4630
486	4387	4621
487	4395	4611
488	4405	4604
489	4414	4594
490	4423	4585
491	4432	4576
492	4440	4566
493	4450	4558
494	4458	4548
495	4468	4540
496	4476	4530
497	4485	4521
498	4493	4511
499	4503	4503
500	4512	4494
501	4521	4485
502	4530	4476
503	4539	4467
504	4548	4458
505	4557	4449
506	4566	4440
507	4575	4431
508	4584	4422
509	4593	4413
510	4601	4403
511	4610	4394
512	4618	4384
513	4627	4375
514	4636	4365
515	4645	4357
516	4653	4347
517	4664	4340
518	4672	4330
519	4681	4321
520	4690	4312
521	4699	4303
522	4708	4294
523	4717	4284
524	4725	4275
525	4733	4265
526	4742	4256
527	4750	4246
528	4760	4238
529	4768	4228
530	4777	4219
531	4786	4210
532	4795	4202
533	4804	4192
534	4812	4182
535	4821	4173
536	4829	4164
537	4838	4155
538	4846	4145
539	4855	4136
540	4863	4126
541	4873	4117
542	4881	4108
543	4890	4099
544	4898	4089
545	4907	4080
546	4915	4070
547	4924	4061
548	4933	4052
549	4943	4044
550	4952	4035
551	4960	4026
552	4970	4017
553	4979	4008
554	4987	3999
555	4996	3990
556	5005	3980
557	5013	3971
