iter	Logloss
0	0.6728480479
1	0.6551113861
2	0.6391975158
3	0.6238761887
4	0.610145516
5	0.5973633129
6	0.585399246
7	0.5740770276
8	0.5617943794
9	0.5524453751
10	0.5414965361
11	0.5322857587
12	0.5245453443
13	0.5163882371
14	0.510074421
15	0.5037446835
16	0.4974062771
17	0.4902076457
18	0.4849380219
19	0.4784097377
20	0.473243142
21	0.4686933629
22	0.4644137863
23	0.4603853172
24	0.4560651161
25	0.4522068151
26	0.4487965454
27	0.444080276
28	0.4401975263
29	0.4370090588
30	0.4339899144
31	0.4310573364
32	0.4284779601
33	0.425895931
34	0.4236969729
35	0.4211009093
36	0.4183759671
37	0.4159716059
38	0.4140463554
39	0.4126029186
40	0.4106375308
41	0.408410924
42	0.4052994994
43	0.4020954178
44	0.3998902611
45	0.3983509959
46	0.3967941241
47	0.395188331
48	0.3939809973
49	0.3916018218
50	0.3905332888
51	0.3884409502
52	0.3874894365
53	0.3859373108
54	0.3850126224
55	0.3839021518
56	0.3825930529
57	0.3808380281
58	0.379909585
59	0.3784345959
60	0.3773899138
61	0.3762403192
62	0.3754694166
63	0.3733308575
64	0.3726468815
65	0.3718719795
66	0.3711993252
67	0.3701474338
68	0.3692172022
69	0.3677797912
70	0.3667548884
71	0.365748082
72	0.3647666965
73	0.3639521374
74	0.3629855954
75	0.3619389639
76	0.361186405
77	0.3603533198
78	0.3587158424
79	0.3577843289
80	0.3568245664
81	0.3561743946
82	0.3557211634
83	0.3551296693
84	0.3543885953
85	0.3529996254
86	0.3524667081
87	0.3513661259
88	0.3509676353
89	0.3493150383
90	0.3485614208
91	0.3467914516
92	0.3463805711
93	0.3454717416
94	0.3450520121
95	0.3444621336
96	0.3432486638
97	0.3422515706
98	0.3413848061
99	0.340934631
100	0.3403530469
101	0.3399558935
102	0.3391634807
103	0.3378086894
104	0.3369929084
105	0.3363198388
106	0.3358474309
107	0.3348759627
108	0.3338650535
109	0.3331053093
110	0.3328244141
111	0.3322640702
112	0.3315413879
113	0.3310216204
114	0.330195694
115	0.3297084667
116	0.3292290824
117	0.3282309797
118	0.3271771642
119	0.3267904273
120	0.3263242228
121	0.325885571
122	0.3254936091
123	0.3249709512
124	0.324111726
125	0.3237359831
126	0.3234753006
127	0.3231592508
128	0.3227578134
129	0.3223665956
130	0.3219034688
131	0.3216353561
132	0.3210445618
133	0.3203006058
134	0.319760352
135	0.3193355162
136	0.3189123933
137	0.318139108
138	0.3178156366
139	0.3174897213
140	0.3170555348
141	0.3168087342
142	0.3162125719
143	0.3158898699
144	0.3156378226
145	0.3153823963
146	0.3152011502
147	0.3144154954
148	0.3141996289
149	0.3135676867
150	0.3131997497
151	0.3127052686
152	0.3124922098
153	0.3122988317
154	0.3120237378
155	0.3116854301
156	0.310965595
157	0.3103051123
158	0.310169268
159	0.3095685852
160	0.3092311141
161	0.3089454764
162	0.3082393613
163	0.3079996187
164	0.3076943997
165	0.307285022
166	0.3070610951
167	0.3067214526
168	0.3061010182
169	0.3059097672
170	0.305705322
171	0.3055113474
172	0.3053608097
173	0.305056042
174	0.3048073869
175	0.3046406385
176	0.3044701943
177	0.3042125678
178	0.3039195731
179	0.3034069777
180	0.3032689152
181	0.3028458715
182	0.3023731263
183	0.3022465487
184	0.3020310411
185	0.3017783732
186	0.3014464922
187	0.3012435582
188	0.3009775545
189	0.3003977565
190	0.3000628085
191	0.2997697719
192	0.29917798
193	0.2984841072
194	0.2979719475
195	0.2977950995
196	0.2975989642
197	0.297128885
198	0.2969497167
199	0.2965654838
200	0.2959671933
201	0.2954260572
202	0.2948332235
203	0.2942398112
204	0.2933011112
205	0.2930678097
206	0.2927465661
207	0.2925056928
208	0.2922335409
209	0.2918501242
210	0.291607969
211	0.2914324857
212	0.2910863806
213	0.2909355068
214	0.2906290118
215	0.2904585184
216	0.2903002936
217	0.2900120895
218	0.2898437807
219	0.2897018099
220	0.2881080527
221	0.2874259577
222	0.287232977
223	0.2870623791
224	0.2867688442
225	0.2862119237
226	0.2857131718
227	0.2850179618
228	0.2839099207
229	0.2837334159
230	0.2828837755
231	0.2825661894
232	0.2822956832
233	0.2818032823
234	0.2811132111
235	0.280944188
236	0.2804643164
237	0.2801761795
238	0.2799934702
239	0.2787771855
240	0.2784864103
241	0.278269143
242	0.2780453338
243	0.2777565439
244	0.277516961
245	0.2769317543
246	0.2765118531
247	0.2759021413
248	0.2757413743
249	0.2755104555
250	0.2745617062
251	0.2741060203
252	0.2736257874
253	0.2734447477
254	0.2733024768
255	0.2729826532
256	0.2723951442
257	0.2718787232
258	0.2714990168
259	0.2713473352
260	0.2711796241
261	0.2708452572
262	0.270754996
263	0.2704923172
264	0.2702834356
265	0.2700088122
266	0.2696246729
267	0.2689096836
268	0.2685823843
269	0.2683201064
270	0.2680451733
271	0.2678951338
272	0.2676205464
273	0.267226844
274	0.2668337369
275	0.2665241174
276	0.2661580901
277	0.2659821027
278	0.2658026679
279	0.2654939811
280	0.264609682
281	0.264369811
282	0.2642172855
283	0.2641310071
284	0.2639116032
285	0.2634783049
286	0.2630080433
287	0.2628072807
288	0.262674178
289	0.262405854
290	0.2617025105
291	0.2615286093
292	0.2612865777
293	0.2611354386
294	0.2609975213
295	0.2607178445
296	0.2605851355
297	0.2601214662
298	0.2600217835
299	0.2598372844
300	0.2596408419
301	0.2594648977
302	0.2590037419
303	0.2589086385
304	0.2584836382
305	0.258320719
306	0.2581967497
307	0.2580542411
308	0.2577386968
309	0.2576446965
310	0.2575317452
311	0.2573664709
312	0.2572938356
313	0.2565710297
314	0.2560354356
315	0.2555899707
316	0.2553912007
317	0.2552213159
318	0.255095402
319	0.2542897375
320	0.2541893838
321	0.2540456041
322	0.2535416895
323	0.253427814
324	0.2532602182
325	0.2531313803
326	0.2527432631
327	0.2521263108
328	0.2516515515
329	0.2508097949
330	0.250706971
331	0.2498688323
332	0.2490647594
333	0.2485663388
334	0.2479170985
335	0.2477331876
336	0.2475119267
337	0.2472736054
338	0.2470879348
339	0.2469336952
340	0.2466421073
341	0.246550479
342	0.2463619323
343	0.2459133357
344	0.2455526884
345	0.2454130234
346	0.2452796278
347	0.2451598982
348	0.2450168842
349	0.2449105109
350	0.2444313234
351	0.2439652966
352	0.2438269448
353	0.2434418764
354	0.2432037519
355	0.242972644
356	0.2428110572
357	0.2416890314
358	0.2415903438
359	0.2411669196
360	0.2409970228
361	0.2402821475
362	0.2396425994
363	0.2394381314
364	0.2392644252
365	0.2390582803
366	0.2388365273
367	0.2387310008
368	0.2386234072
369	0.237580474
370	0.2368312881
371	0.2366260975
372	0.2364640851
373	0.2363233278
374	0.235799814
375	0.2356885612
376	0.2355109167
377	0.2348715384
378	0.2344896576
379	0.2343678699
380	0.2342654931
381	0.2341975644
382	0.2340240268
383	0.2338069402
384	0.2336655491
385	0.2334829292
386	0.2333636563
387	0.2332317287
388	0.2331083891
389	0.2329505437
390	0.2325878143
391	0.2325163668
392	0.2322210266
393	0.2318816572
394	0.2317669438
395	0.2312155412
396	0.2310473926
397	0.230915246
398	0.2307688429
399	0.2306672271
400	0.2305791199
401	0.2304870499
402	0.2302918965
403	0.2301603603
404	0.2300150747
405	0.2296947296
406	0.2292327275
407	0.2290661345
408	0.2289946024
409	0.2287149153
410	0.2286170068
411	0.2285022604
412	0.2282612406
413	0.2281085801
414	0.2280297522
415	0.2279570209
416	0.2278541063
417	0.2277657633
418	0.2276206974
419	0.2272771045
420	0.2271444154
421	0.226887092
422	0.2267859953
423	0.2266368728
424	0.22657152
425	0.2264353216
426	0.226325532
427	0.2262441414
428	0.2261162873
429	0.2260085803
430	0.2258872914
431	0.2258237361
432	0.2257253564
433	0.225616191
434	0.2254807548
435	0.2252868331
436	0.2251624947
437	0.2249791552
438	0.2247043157
439	0.2245878288
440	0.2241716379
441	0.2238628455
442	0.2237849281
443	0.2230013835
